tower_id,lat,lng,operator,signal_score,frequency_mhz,tx_power_dbm,height_m,zone,radio,range_m,samples,avg_signal_dbm,mcc,mnc,lac,cellid
OCI_404_45_232707072,12.9,77.63,Airtel,70,1800,46,30,HSR Layout,LTE,1000,1,0,404,45,8258,232707072
OCI_404_45_27287568,12.9,77.63,Airtel,60,2100,43,30,HSR Layout,UMTS,1000,1,0,404,45,34162,27287568
OCI_404_86_4641,12.9,77.63,Vi,65,900,43,35,HSR Layout,GSM,1000,1,0,404,86,31801,4641
OCI_404_86_205879815,12.9,77.63,Vi,70,1800,46,30,HSR Layout,LTE,1000,1,0,404,86,54137,205879815
OCI_404_86_20865015,12.9,77.63,Vi,60,2100,43,30,HSR Layout,UMTS,1000,1,0,404,86,21801,20865015
OCI_404_45_1761290,12.9,77.63,Airtel,70,1800,46,30,HSR Layout,LTE,1000,1,0,404,45,8371,1761290
OCI_404_71_12097,12.9,77.63,BSNL,65,900,43,35,HSR Layout,GSM,1000,1,0,404,71,2512,12097
OCI_404_45_8352,12.9,77.64,Airtel,65,900,43,35,HSR Layout,GSM,1000,1,0,404,45,25072,8352
OCI_404_45_213771,12.9,77.64,Airtel,70,1800,46,30,HSR Layout,LTE,1000,1,0,404,45,1064,213771
OCI_404_45_26424731,12.9,77.63,Airtel,60,2100,43,30,HSR Layout,UMTS,1000,1,0,404,45,34034,26424731
OCI_404_86_12293,12.9,77.63,Vi,65,900,43,35,HSR Layout,GSM,1000,1,0,404,86,65525,12293
OCI_405_803_13542,12.9,77.63,Unknown,65,900,43,35,HSR Layout,GSM,1000,1,0,405,803,1122,13542
OCI_405_803_28581,12.9,77.63,Unknown,65,900,43,35,HSR Layout,GSM,1000,1,0,405,803,1122,28581
OCI_404_45_48441,12.9,77.63,Airtel,65,900,43,35,HSR Layout,GSM,1000,1,0,404,45,25032,48441
OCI_404_45_48421,12.9,77.63,Airtel,65,900,43,35,HSR Layout,GSM,1000,1,0,404,45,25032,48421
OCI_404_45_26414149,12.9,77.63,Airtel,60,2100,43,30,HSR Layout,UMTS,1000,1,0,404,45,34031,26414149
OCI_404_45_8351,12.9,77.63,Airtel,65,900,43,35,HSR Layout,GSM,1000,1,0,404,45,4040,8351
